data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;;;;;;;;;;;;;;;;;;
4 de janeiro de 2025;Muito agradável em termos gerais;Funcionários muitos atenciosos;Cortinas não permitem que fiquemos a dormir um pouco mias deixa entrar o sol.;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de abril de 2025;Muito bom;Localização ótima, todavia por ser um hotel antigo, não tinha ducha higiênica e estava entrando mau cheiro pelo ralo. Café bom;;8;;;;;;;;;;;;;;;;;;;;;;;;;
3 de abril de 2025;Bom;O espaço do quarto é ótimo e a localização é excelente;Café da manhã ruim, poucas opções e comidas frias. Achei a cama muito mole, mas há quem goste.;7;;;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2025;Muito bom;Não gostei da academia.;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Gostei dos funcionários.""";;8;;;;;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2025;Tendo oportunidade voltarei com certeza;Localização, atendimento das pessoas excelente e quartos amplos;;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Muito bom;Localização muito boa. Perto da praia, restaurantes e bares.;;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Hotel atende nos requisitos principais: Boa localização;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A decepção foi que a Recepção não tem acesso as câmaras e só recebeu a reclamação para repassar a Gerência do Hotel que chegaria somente no outro dia; pela manhã. No dia 26mar( quarta-feira) pela manhã; já fazendo o check out; a Recepção ainda não tinha resposta sobre nossa mala; nem o Gerente tinha chegado ao Hotel para verificar as câmaras; etc; etc...Enfim; até agora; ainda não recebemos do Hotel;" qualquer situação sobre a recuperação da nossa mala.""";7;;;;;;;;;;;;;;;;;;;
27 de março de 2024;Ruim;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
27 de março de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
26 de março de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
24 de março de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
24 de março de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
24 de março de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
23 de março de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
22 de março de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
21 de março de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
21 de março de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
20 de março de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
19 de março de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
19 de março de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
18 de março de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
17 de março de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
15 de março de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
15 de março de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
15 de março de 2024;Ruim;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
14 de março de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
14 de março de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
14 de março de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
14 de março de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
14 de março de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
12 de março de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
12 de março de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
12 de março de 2024;Hotel de muita qualidade com o preço muito em conta;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
12 de março de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
10 de março de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
8 de março de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
8 de março de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
8 de março de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
5 de março de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
5 de março de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
5 de março de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
5 de março de 2024;Decepcionante;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
5 de março de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
5 de março de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
4 de março de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
2 de março de 2024;Decepcionante;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
2 de março de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
1º de março de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
1º de março de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
29 de fevereiro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
29 de fevereiro de 2024;Muito ruim;;;2;;;;;;;;;;;;;;;;;;;;;;;;;
28 de fevereiro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
27 de fevereiro de 2024;Fiz a reserva pela BOOKING e me informaram que o estabelecimento cuidaria do pagamento, fiz o pagamento na recepção e um;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
26 de fevereiro de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
26 de fevereiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
25 de fevereiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
25 de fevereiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
24 de fevereiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
22 de fevereiro de 2024;Péssimo;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
22 de fevereiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
21 de fevereiro de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
19 de fevereiro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
19 de fevereiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
19 de fevereiro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
18 de fevereiro de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
18 de fevereiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
17 de fevereiro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
16 de fevereiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
16 de fevereiro de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
15 de fevereiro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
15 de fevereiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
15 de fevereiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
13 de fevereiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
13 de fevereiro de 2024;Decepcionante;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
13 de fevereiro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
12 de fevereiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
12 de fevereiro de 2024;Péssimo;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
11 de fevereiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
10 de fevereiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
9 de fevereiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
8 de fevereiro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
7 de fevereiro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
7 de fevereiro de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
6 de fevereiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
6 de fevereiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
5 de fevereiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
5 de fevereiro de 2024;Ruim;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
5 de fevereiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
5 de fevereiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
4 de fevereiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
4 de fevereiro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
3 de fevereiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
2 de fevereiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
2 de fevereiro de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
1º de fevereiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
31 de janeiro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
30 de janeiro de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
30 de janeiro de 2024;Decepcionante;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
30 de janeiro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
29 de janeiro de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
29 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
28 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
27 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
27 de janeiro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
24 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
24 de janeiro de 2024;Decepcionante;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
23 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
23 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
23 de janeiro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
22 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
22 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
22 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
22 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
21 de janeiro de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
20 de janeiro de 2024;Decepcionante;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
18 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
16 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
16 de janeiro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
14 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
14 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
13 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
13 de janeiro de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
12 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
12 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
11 de janeiro de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
10 de janeiro de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
9 de janeiro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
8 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
8 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
8 de janeiro de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
8 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
6 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
6 de janeiro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
6 de janeiro de 2024;Péssimo;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
6 de janeiro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
5 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
5 de janeiro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
5 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
4 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de janeiro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
3 de janeiro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
2 de janeiro de 2024;Péssimo;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
2 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
2 de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
1º de janeiro de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
1º de janeiro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
31 de dezembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
31 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
31 de dezembro de 2023;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
30 de dezembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
30 de dezembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
30 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
29 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
27 de dezembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
27 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
27 de dezembro de 2023;Decepcionante;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
26 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
25 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
25 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
23 de dezembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
23 de dezembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
23 de dezembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
22 de dezembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
22 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
22 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
21 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
20 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
20 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
20 de dezembro de 2023;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
20 de dezembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
18 de dezembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
18 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
18 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
17 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
17 de dezembro de 2023;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
16 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
16 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
15 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
15 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
15 de dezembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
15 de dezembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
15 de dezembro de 2023;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
15 de dezembro de 2023;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
14 de dezembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
13 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
12 de dezembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
12 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
12 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
12 de dezembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
11 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
10 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
9 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
7 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
7 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
6 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
6 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
5 de dezembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
5 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
5 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
4 de dezembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
3 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de dezembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
2 de dezembro de 2023;Gostei muito do atendimento e simpatia das meninas Bianca (Novata), Jaqueline e a outra que não me recordo o nome que t;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
1º de dezembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
29 de novembro de 2023;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
27 de novembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
27 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
27 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
27 de novembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
26 de novembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
26 de novembro de 2023;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
26 de novembro de 2023;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
26 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
25 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
24 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
23 de novembro de 2023;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
23 de novembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
23 de novembro de 2023;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
22 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
21 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
20 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
20 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
16 de novembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
16 de novembro de 2023;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
16 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
16 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
15 de novembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
14 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
13 de novembro de 2023;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
13 de novembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
13 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
12 de novembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
11 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
10 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
10 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
9 de novembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
9 de novembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
9 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
9 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
8 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
8 de novembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
8 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
8 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
7 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
7 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
5 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de novembro de 2023;Muito ruim;;;2;;;;;;;;;;;;;;;;;;;;;;;;;
3 de novembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
2 de novembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
2 de novembro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
2 de novembro de 2023;Péssimo;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
1º de novembro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
31 de outubro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
31 de outubro de 2023;Decepcionante;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
30 de outubro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
30 de outubro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
28 de outubro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
28 de outubro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
28 de outubro de 2023;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
28 de outubro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
27 de outubro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
27 de outubro de 2023;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
24 de outubro de 2023;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
24 de outubro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
23 de outubro de 2023;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
22 de outubro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
22 de outubro de 2023;Excelente!;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
22 de outubro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
21 de outubro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
21 de outubro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
21 de outubro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
18 de outubro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
18 de outubro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
17 de outubro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
17 de outubro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
17 de outubro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
17 de outubro de 2023;Todos muitos educados e atenciosos!;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
17 de outubro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
17 de outubro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
15 de outubro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
14 de outubro de 2023;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
13 de outubro de 2023;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
